Estacao;Valor;Valor_D-1;m_postos;Incosistente;Area;P100;P95;P90
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0.37;0;0;0;210000;16.54;1.92;0.59
3;0.03;0.37;0;0;210000;16.54;1.92;0.59
3;0;0.03;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0.04;0;0;0;210000;16.54;1.92;0.59
3;0.6;0.04;0;0;210000;16.54;1.92;0.59
3;0.06;0.6;0;0;210000;16.54;1.92;0.59
3;0.25;0.06;0.04;0;210000;16.54;1.92;0.59
3;0;0.25;0;0;210000;16.54;1.92;0.59
3;0.06;0;0;0;210000;16.54;1.92;0.59
3;0.66;0.06;0.2;0;210000;16.54;1.92;0.59
3;0.68;0.66;0.59;0;210000;16.54;1.92;0.59
3;0.03;0.68;0;0;210000;16.54;1.92;0.59
3;0;0.03;0;0;210000;16.54;1.92;0.59
3;0.02;0;0;0;210000;16.54;1.92;0.59
3;0.34;0.02;0.05;0;210000;16.54;1.92;0.59
3;0.19;0.34;0.09;0;210000;16.54;1.92;0.59
3;6.19;0.19;0.44;0;210000;16.54;1.92;0.59
3;13.09;6.19;2.7;0;210000;16.54;1.92;0.59
3;2.83;13.09;0.59;0;210000;16.54;1.92;0.59
3;1.05;2.83;1.84;0;210000;16.54;1.92;0.59
3;1.54;1.05;2.15;0;210000;16.54;1.92;0.59
3;8.74;1.54;1.54;0;210000;16.54;1.92;0.59
3;0.92;8.74;0;0;210000;16.54;1.92;0.59
3;0.61;0.92;0.58;0;210000;16.54;1.92;0.59
3;3.08;0.61;0.78;0;210000;16.54;1.92;0.59
3;0.44;3.08;0.23;0;210000;16.54;1.92;0.59
3;0.35;0.44;1.33;0;210000;16.54;1.92;0.59
3;0.09;0.35;0;0;210000;16.54;1.92;0.59
3;0.01;0.09;0.07;0;210000;16.54;1.92;0.59
3;0.01;0.01;0;0;210000;16.54;1.92;0.59
3;0.03;0.01;0.07;0;210000;16.54;1.92;0.59
3;0.09;0.03;0.01;0;210000;16.54;1.92;0.59
3;0.26;0.09;0.13;0;210000;16.54;1.92;0.59
3;0.13;0.26;0.95;0;210000;16.54;1.92;0.59
3;0.37;0.13;0;0;210000;16.54;1.92;0.59
3;0.47;0.37;1.59;0;210000;16.54;1.92;0.59
3;16.8;0.47;6.2;0;210000;16.54;1.92;0.59
4;54.42;16.8;24.13;1;210000;39.21;18.99;15.36
4;7.22;54.42;0.6;0;210000;39.21;18.99;15.36
4;0.87;7.22;1.31;0;210000;39.21;18.99;15.36
4;3.35;0.87;4.7;0;210000;39.21;18.99;15.36
4;12.04;3.35;10.08;0;210000;39.21;18.99;15.36
4;2.4;12.04;3.24;0;210000;39.21;18.99;15.36
4;17.05;2.4;8.81;0;210000;39.21;18.99;15.36
4;12.34;17.05;2.16;0;210000;39.21;18.99;15.36
4;2.94;12.34;2.58;0;210000;39.21;18.99;15.36
4;0.17;2.94;1.6;0;210000;39.21;18.99;15.36
4;1.33;0.17;1.36;0;210000;39.21;18.99;15.36
4;6.2;1.33;6.61;0;210000;39.21;18.99;15.36
4;15.37;6.2;3.51;0;210000;39.21;18.99;15.36
4;6.07;15.37;3.35;0;210000;39.21;18.99;15.36
4;3.86;6.07;4.97;0;210000;39.21;18.99;15.36
4;11.85;3.86;9.12;0;210000;39.21;18.99;15.36
4;4.48;11.85;7.57;0;210000;39.21;18.99;15.36
4;24.91;4.48;13.78;0;210000;39.21;18.99;15.36
4;0.95;24.91;4.8;0;210000;39.21;18.99;15.36
4;12.88;0.95;11.27;0;210000;39.21;18.99;15.36
4;3.59;12.88;1.08;0;210000;39.21;18.99;15.36
4;1.1;3.59;2.23;0;210000;39.21;18.99;15.36
4;4.04;1.1;8.66;0;210000;39.21;18.99;15.36
4;17.94;4.04;10.87;0;210000;39.21;18.99;15.36
4;8.04;17.94;6.64;0;210000;39.21;18.99;15.36
4;5.47;8.04;15.34;0;210000;39.21;18.99;15.36
4;4.39;5.47;8.13;0;210000;39.21;18.99;15.36
4;10.34;4.39;10.77;0;210000;39.21;18.99;15.36
4;6.35;10.34;6.88;0;210000;39.21;18.99;15.36
4;7.7;6.35;7.56;0;210000;39.21;18.99;15.36
4;8.13;7.7;10.07;0;210000;39.21;18.99;15.36
4;12.13;8.13;5.75;0;210000;39.21;18.99;15.36
4;16.86;12.13;17.16;0;210000;39.21;18.99;15.36
4;1.39;16.86;5.52;0;210000;39.21;18.99;15.36
4;8.26;1.39;5.86;0;210000;39.21;18.99;15.36
4;12.69;8.26;9.7;0;210000;39.21;18.99;15.36
4;0.66;12.69;0.84;0;210000;39.21;18.99;15.36
4;0.27;0.66;0.63;0;210000;39.21;18.99;15.36
4;3.37;0.27;1.35;0;210000;39.21;18.99;15.36
4;14.59;3.37;10.35;0;210000;39.21;18.99;15.36
4;16.81;14.59;12.98;0;210000;39.21;18.99;15.36
4;2.35;16.81;5.1;0;210000;39.21;18.99;15.36
4;2.96;2.35;12.48;0;210000;39.21;18.99;15.36
4;9.17;2.96;8.11;0;210000;39.21;18.99;15.36
4;1.15;9.17;2.18;0;210000;39.21;18.99;15.36
4;6.27;1.15;8.7;0;210000;39.21;18.99;15.36
4;0.61;6.27;0.51;0;210000;39.21;18.99;15.36
4;5.39;0.61;6.29;0;210000;39.21;18.99;15.36
4;12.31;5.39;7.84;0;210000;39.21;18.99;15.36
4;9.11;12.31;16.97;0;210000;39.21;18.99;15.36
4;5.55;9.11;8.29;0;210000;39.21;18.99;15.36
4;9.6;5.55;4.28;0;210000;39.21;18.99;15.36
4;1.54;9.6;1.69;0;210000;39.21;18.99;15.36
4;0.56;1.54;3.39;0;210000;39.21;18.99;15.36
4;2.26;0.56;6.4;0;210000;39.21;18.99;15.36
4;4.36;2.26;3.98;0;210000;39.21;18.99;15.36
4;1.17;4.36;0.77;0;210000;39.21;18.99;15.36
4;0.14;1.17;0.33;0;210000;39.21;18.99;15.36
4;0.69;0.14;1.14;0;210000;39.21;18.99;15.36
4;1.7;0.69;0.53;0;210000;39.21;18.99;15.36
4;2.66;1.7;1.2;0;210000;39.21;18.99;15.36
4;5.15;2.66;2.64;0;210000;39.21;18.99;15.36
4;5.23;5.15;5.93;0;210000;39.21;18.99;15.36
4;6.69;5.23;9.44;0;210000;39.21;18.99;15.36
4;4.92;6.69;4.42;0;210000;39.21;18.99;15.36
4;2.73;4.92;2.67;0;210000;39.21;18.99;15.36
4;3.89;2.73;3.58;0;210000;39.21;18.99;15.36
4;11.31;3.89;10.28;0;210000;39.21;18.99;15.36
4;15.19;11.31;13.21;0;210000;39.21;18.99;15.36
4;3.81;15.19;8.22;0;210000;39.21;18.99;15.36
4;4.79;3.81;6.07;0;210000;39.21;18.99;15.36
4;14.04;4.79;12.51;0;210000;39.21;18.99;15.36
4;10.4;14.04;21.52;0;210000;39.21;18.99;15.36
4;3.4;10.4;8.12;0;210000;39.21;18.99;15.36
4;3.46;3.4;7.28;0;210000;39.21;18.99;15.36
4;6.47;3.46;6.63;0;210000;39.21;18.99;15.36
4;5.06;6.47;4.14;0;210000;39.21;18.99;15.36
4;3.45;5.06;8.19;0;210000;39.21;18.99;15.36
4;33.13;3.45;20.65;0;210000;39.21;18.99;15.36
4;7.69;33.13;12.25;0;210000;39.21;18.99;15.36
4;2.38;7.69;2.21;0;210000;39.21;18.99;15.36
4;9.9;2.38;5.95;0;210000;39.21;18.99;15.36
4;6.29;9.9;6.51;0;210000;39.21;18.99;15.36
4;10.77;6.29;11.13;0;210000;39.21;18.99;15.36
4;19.54;10.77;17.3;0;210000;39.21;18.99;15.36
4;11.01;19.54;18.97;0;210000;39.21;18.99;15.36
4;11.66;11.01;9.76;0;210000;39.21;18.99;15.36
4;1.32;11.66;3.84;0;210000;39.21;18.99;15.36
4;2.71;1.32;3.41;0;210000;39.21;18.99;15.36
4;20.57;2.71;19.17;0;210000;39.21;18.99;15.36
4;4.44;20.57;7.8;0;210000;39.21;18.99;15.36
1;1.77;4.44;2.06;0;210000;55.87;22.08;18.63
1;10.39;1.77;6.8;0;210000;55.87;22.08;18.63
1;5.5;10.39;5.35;0;210000;55.87;22.08;18.63
1;10.27;5.5;3.42;0;210000;55.87;22.08;18.63
1;1.48;10.27;1.21;0;210000;55.87;22.08;18.63
1;3.67;1.48;2.74;0;210000;55.87;22.08;18.63
1;11.1;3.67;7.7;0;210000;55.87;22.08;18.63
1;15.57;11.1;9.92;0;210000;55.87;22.08;18.63
1;5.11;15.57;5.24;0;210000;55.87;22.08;18.63
1;15.78;5.11;14.43;0;210000;55.87;22.08;18.63
1;12.06;15.78;14.69;0;210000;55.87;22.08;18.63
1;3.56;12.06;5.63;0;210000;55.87;22.08;18.63
1;12.98;3.56;13.03;0;210000;55.87;22.08;18.63
1;10.59;12.98;5.42;0;210000;55.87;22.08;18.63
1;12.07;10.59;14.55;0;210000;55.87;22.08;18.63
1;9.94;12.07;6.9;0;210000;55.87;22.08;18.63
1;9.74;9.94;19.92;0;210000;55.87;22.08;18.63
1;5.93;9.74;11.11;0;210000;55.87;22.08;18.63
1;12.12;5.93;11.18;0;210000;55.87;22.08;18.63
